age,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,attendance_percentage,stress_level,assignments_completed,productivity_score
20,5.0,7.2,5.7,3.6,100.0,6,12,57.3
21,3.4,4.2,2.4,1.3,71.6,9,24,48.0
21,4.6,5.3,2.7,1.9,92.6,6,7,48.7
20,4.9,5.7,3.3,2.2,60.4,5,27,75.9
24,2.7,4.8,3.9,2.5,66.2,3,28,54.1
22,6.0,8.4,4.9,4.2,89.9,10,24,64.7
22,2.7,7.2,5.2,4.0,55.6,2,27,55.9
24,5.9,6.5,3.9,2.5,76.4,1,12,68.0
18,1.0,8.6,6.0,4.6,85.3,2,6,34.7
19,3.5,7.6,4.8,3.3,96.6,9,20,54.4
18,0.5,5.5,3.3,2.7,89.4,2,21,41.0
24,3.9,5.4,2.3,1.6,64.9,6,27,56.4
24,4.3,6.9,5.4,3.9,66.0,6,23,52.0
24,5.1,5.0,5.3,3.6,67.1,10,9,39.5
24,4.6,5.7,5.3,4.4,40.9,5,19,58.2
19,5.9,7.3,3.5,2.4,96.0,9,12,67.7
22,6.5,7.8,3.6,2.8,100.0,10,18,62.6
23,3.9,5.7,2.6,2.9,84.1,9,27,63.6
20,2.2,9.3,5.9,4.3,97.5,6,21,42.1
18,3.9,3.1,2.5,1.1,49.3,2,26,45.8
22,3.7,5.0,2.7,1.5,68.4,10,20,48.1
23,4.0,3.5,3.6,2.7,81.3,7,21,50.5
19,4.8,5.4,2.4,2.2,71.6,7,24,59.3
19,0.5,9.1,5.6,3.3,85.6,3,24,35.1
23,4.1,5.7,3.4,2.3,75.0,7,10,46.0
18,4.9,5.3,4.2,3.1,83.1,5,14,50.7
24,2.4,6.3,5.2,3.2,70.9,10,6,33.3
23,7.0,5.7,2.2,1.4,94.3,1,3,68.5
23,7.7,7.3,2.5,2.0,88.1,10,11,60.5
18,7.7,7.4,5.9,4.2,59.2,5,20,66.1
22,6.5,9.6,1.9,0.9,100.0,3,28,77.5
24,2.8,7.0,4.5,3.3,68.6,8,23,54.3
24,3.9,9.0,3.5,2.3,65.5,4,24,55.7
19,5.5,8.9,4.3,2.5,63.9,9,23,45.9
21,4.1,6.4,2.9,1.8,82.1,2,28,68.5
23,3.0,6.9,3.8,3.0,100.0,4,11,53.2
18,5.3,7.2,3.4,2.5,52.7,2,11,56.8
22,3.8,7.9,5.4,3.8,64.1,9,16,45.3
23,5.6,8.3,3.8,2.7,61.8,2,21,59.6
22,3.9,8.2,3.5,3.0,100.0,9,14,52.6
22,2.6,5.0,5.1,4.3,80.1,2,17,42.5
21,4.9,7.8,4.2,2.8,80.2,2,23,71.4
24,2.8,3.0,4.0,2.1,85.5,3,26,44.8
21,6.4,4.0,3.1,2.1,100.0,1,25,73.5
22,4.5,7.8,3.4,1.8,45.5,6,19,61.8
22,5.5,9.1,3.5,2.5,72.7,8,9,48.3
23,3.9,6.6,4.9,3.4,93.1,9,18,57.8
20,1.8,6.8,2.7,1.7,94.3,5,17,49.0
20,1.8,7.9,4.5,2.7,65.8,2,16,46.5
22,2.6,5.0,3.7,2.1,95.6,5,10,47.7
23,3.3,4.8,5.6,3.6,60.9,1,29,55.0
20,2.2,7.1,1.9,2.2,56.0,7,21,47.7
24,3.2,6.6,2.4,1.2,71.6,6,10,46.0
24,2.1,3.2,6.0,4.0,72.8,8,9,8.0
18,5.8,6.5,2.5,1.6,66.3,1,15,66.0
23,2.9,4.1,2.9,1.6,89.5,9,12,42.2
19,3.9,5.9,4.7,3.4,75.1,2,29,64.8
19,3.7,6.7,5.7,3.8,69.3,6,25,56.1
20,7.2,6.2,2.5,1.6,57.9,6,12,67.5
19,7.4,7.7,3.3,2.4,74.3,3,5,60.7
24,2.7,6.8,1.9,1.7,63.1,8,27,54.6
23,4.1,6.5,5.8,3.9,76.8,10,25,52.3
20,6.0,5.9,5.7,4.0,63.1,9,7,40.7
23,5.1,3.0,4.1,3.3,67.7,6,18,39.6
19,5.8,4.2,3.8,2.3,63.4,3,9,41.5
19,7.3,7.3,2.7,2.3,85.1,3,28,88.5
22,3.9,7.5,3.1,2.6,60.0,4,28,54.7
19,4.1,6.9,4.2,2.8,48.8,9,22,49.9
22,6.4,5.1,3.7,2.4,47.8,2,3,55.2
22,2.9,6.2,6.1,4.6,67.4,7,6,31.9
21,3.1,7.6,4.4,2.6,66.0,6,24,50.4
23,0.8,6.3,4.6,2.8,100.0,8,22,46.8
23,7.0,6.0,6.2,4.6,71.1,6,22,63.3
20,4.1,9.1,5.3,3.4,69.6,1,20,51.8
22,4.0,8.7,4.0,2.5,64.4,7,11,47.6
23,5.2,6.9,3.6,2.4,79.8,7,25,64.9
21,2.6,8.1,6.0,4.3,62.3,8,21,46.1
18,3.6,5.1,4.8,3.2,55.0,10,23,40.5
22,3.7,5.3,4.5,3.3,80.4,1,19,68.8
22,5.8,8.0,5.3,4.3,64.5,5,28,64.3
18,5.9,4.5,3.3,2.2,95.2,9,23,54.2
23,3.7,8.5,4.6,3.1,74.2,1,15,56.0
18,4.2,7.0,4.9,4.3,65.7,10,27,50.0
19,5.3,5.4,5.1,3.5,70.5,10,27,56.7
19,3.9,7.4,2.7,2.2,100.0,5,13,54.9
22,4.4,7.2,3.3,2.5,62.4,5,23,59.9
20,6.8,6.1,5.4,4.8,93.4,1,20,75.7
21,2.8,8.7,5.1,4.4,91.1,1,3,44.1
19,4.1,6.2,4.4,3.4,86.7,10,8,53.8
18,5.6,6.4,3.8,2.5,100.0,4,25,74.5
24,7.1,7.2,3.2,2.3,75.9,9,26,83.5
19,4.3,6.4,3.7,2.8,76.3,9,15,59.0
22,4.1,8.0,6.8,3.9,74.1,8,6,37.6
21,3.6,6.5,6.9,4.5,74.7,4,19,44.2
24,1.1,4.5,4.9,3.2,98.4,3,21,44.1
18,4.9,6.7,3.8,2.6,63.3,4,7,47.4
19,5.6,6.0,6.2,4.5,62.9,5,22,62.0
20,3.4,6.0,2.3,1.4,80.5,9,8,46.3
19,2.3,6.4,3.2,2.1,63.7,10,27,41.2
19,5.9,8.1,6.8,4.8,78.9,1,5,52.7
22,3.2,6.8,5.6,4.1,69.7,8,29,50.2
23,1.7,6.7,2.7,1.7,88.9,8,20,46.6
21,5.4,7.9,2.3,1.6,61.4,8,4,50.3
18,4.1,7.5,2.5,2.0,70.8,2,3,40.3
23,7.1,8.8,2.3,2.4,92.3,6,28,69.6
20,4.3,6.1,3.8,2.1,64.4,9,7,42.5
18,3.2,4.5,4.6,3.6,41.4,2,17,32.5
20,6.9,6.2,3.6,1.9,74.1,2,22,69.3
22,2.5,5.6,4.5,3.4,58.3,10,17,32.8
21,4.1,4.2,2.5,1.9,93.5,7,6,38.4
22,6.0,6.2,6.2,4.1,92.0,4,7,54.6
20,4.6,6.0,3.0,2.9,98.1,2,8,60.5
21,5.2,6.5,3.9,3.1,77.7,1,10,62.9
22,2.8,6.0,5.2,3.7,64.0,3,26,61.2
21,4.6,6.1,5.6,3.5,43.8,6,22,39.0
19,1.9,7.8,0.9,0.9,66.7,4,15,49.5
21,4.8,7.2,4.3,2.9,76.5,4,22,63.0
21,3.4,5.9,4.9,3.1,82.2,3,4,45.5
21,5.6,9.9,5.4,3.5,97.4,6,29,53.2
20,6.8,3.9,5.0,3.4,100.0,2,22,71.7
24,1.4,7.2,3.0,2.1,80.2,1,7,39.1
18,4.2,4.6,3.5,3.4,61.5,9,6,31.8
21,7.5,8.2,3.8,2.5,52.7,3,26,70.2
24,8.6,5.2,4.8,3.3,85.9,7,25,79.7
21,1.0,5.1,1.2,0.2,54.9,5,17,38.8
22,2.8,3.7,5.9,3.9,53.9,1,9,26.1
24,3.0,8.2,4.5,3.2,34.4,10,14,31.8
18,5.3,4.2,4.2,2.7,72.3,10,19,53.5
19,2.6,7.5,6.7,5.1,84.4,9,18,42.9
19,4.8,9.1,6.5,4.7,94.6,9,20,42.3
22,4.2,5.0,2.1,1.9,61.1,2,22,65.9
22,5.9,8.7,5.3,3.7,85.6,8,8,41.3
24,2.8,6.5,0.5,0.5,97.3,5,19,75.4
19,4.2,6.0,4.7,3.4,61.4,8,20,47.0
24,3.7,7.2,3.7,3.0,62.6,3,8,50.6
22,4.2,9.5,2.5,1.8,87.2,10,23,52.9
21,4.1,5.7,6.5,4.8,81.3,6,27,47.3
24,3.9,7.1,3.8,2.7,98.1,9,25,60.3
19,5.0,7.8,5.1,3.2,80.8,10,12,47.7
21,5.5,5.2,4.3,3.1,81.9,3,27,62.9
20,5.3,7.2,5.0,3.4,78.1,9,10,45.6
24,0.5,7.4,5.7,3.8,75.3,5,3,23.7
24,4.3,4.7,2.1,1.6,72.9,1,27,65.0
19,3.6,7.2,5.3,3.3,68.3,7,4,40.2
19,3.4,7.1,1.6,0.8,52.0,2,3,46.4
20,6.2,6.2,4.7,2.6,93.6,7,11,60.9
23,3.4,4.8,5.7,4.1,55.6,7,11,24.7
18,1.8,8.0,4.8,2.9,51.4,8,29,41.4
21,3.2,7.0,4.5,3.1,95.2,6,23,60.6
19,7.8,5.5,6.0,4.1,76.5,2,5,56.3
24,5.4,7.5,2.4,2.1,45.7,10,6,35.2
18,1.8,6.3,3.0,1.9,50.7,8,15,36.2
23,8.7,8.8,4.4,3.4,90.3,6,13,66.3
19,3.7,8.4,3.8,2.9,61.1,9,21,43.0
20,4.7,8.1,6.0,4.7,70.4,8,17,44.1
22,5.6,4.4,1.2,1.0,68.9,3,25,64.0
22,6.2,6.4,4.4,3.0,85.8,6,6,61.9
24,2.5,5.3,2.6,2.2,57.7,5,22,53.1
21,4.1,6.2,4.8,4.1,64.0,10,26,61.7
19,3.6,5.1,4.6,3.2,79.9,1,14,57.6
23,4.3,8.2,3.9,2.5,89.4,3,24,73.7
20,3.4,5.1,3.8,2.1,100.0,9,4,35.7
20,6.6,6.5,5.5,4.4,82.1,4,12,52.9
18,6.2,3.6,4.5,3.5,89.2,8,24,57.3
24,2.1,6.1,0.5,0.7,47.6,3,20,55.1
18,1.1,6.8,5.4,4.2,49.9,4,25,43.7
19,4.0,8.6,4.7,3.1,62.9,10,28,52.3
19,4.5,7.1,4.3,3.3,79.9,4,18,60.3
22,6.9,7.8,3.9,2.8,60.0,6,24,67.8
20,8.7,5.2,3.7,2.7,59.1,1,24,77.3
20,2.6,5.7,4.2,2.5,85.0,8,3,42.5
18,2.2,10.0,3.6,2.5,78.5,3,14,31.7
24,6.1,5.8,4.3,3.3,100.0,3,13,64.2
22,4.0,8.1,5.6,3.8,81.8,7,26,58.9
23,3.7,7.8,3.2,2.9,68.2,5,17,52.6
22,5.0,7.8,3.8,2.8,73.2,1,15,67.0
19,2.7,6.7,3.7,2.6,61.2,2,19,52.1
22,5.7,5.7,3.8,3.2,90.5,1,3,57.2
18,3.0,6.1,2.0,1.5,66.1,5,22,57.1
18,3.9,9.2,3.7,2.3,54.0,7,23,48.0
18,4.1,6.1,4.0,2.8,84.5,8,12,54.2
24,1.1,8.3,6.4,5.1,70.7,4,29,48.4
22,4.7,7.4,4.8,2.7,30.7,8,14,52.1
18,1.6,5.6,4.8,3.7,72.6,1,10,34.0
22,4.3,4.6,3.4,2.9,60.1,9,18,42.0
19,2.8,7.5,3.6,3.6,87.2,1,22,56.5
23,0.5,6.2,5.1,3.4,74.9,4,3,22.4
24,7.9,5.6,3.0,2.4,70.3,8,13,72.9
19,4.0,7.1,1.2,1.1,66.6,2,15,70.4
22,5.3,4.7,5.7,4.2,100.0,5,18,53.0
22,3.9,7.2,4.6,3.2,88.0,8,17,50.0
22,3.5,5.3,5.1,3.4,56.2,4,20,47.3
19,2.8,10.0,2.3,1.8,74.2,6,9,29.3
23,6.5,5.6,5.2,3.9,71.7,8,6,50.7
23,4.0,6.3,4.6,3.3,89.9,8,20,54.3
22,6.8,7.1,5.1,3.0,84.1,8,27,67.6
18,7.2,8.7,5.8,4.4,61.5,5,20,61.4
24,2.3,6.0,2.2,1.8,61.1,2,10,44.7
19,3.3,6.1,4.4,3.2,61.1,8,7,42.1
21,5.0,5.1,3.0,1.3,88.3,7,6,52.5
24,1.9,5.3,2.4,1.7,89.9,4,19,49.3
20,2.8,4.8,2.9,2.4,97.5,10,28,55.8
19,4.5,6.0,2.5,2.0,64.3,6,15,58.8
20,6.3,10.0,4.0,2.6,87.1,7,4,37.6
22,1.4,6.3,4.6,2.9,93.4,3,25,55.0
20,2.6,5.8,2.8,1.9,93.7,2,20,60.0
23,6.7,5.8,3.9,2.4,67.5,5,9,55.0
18,5.1,7.3,3.9,2.6,58.7,4,13,49.4
18,5.3,8.8,2.7,1.1,77.1,7,11,51.2
20,7.2,6.1,0.9,0.6,86.5,6,23,81.4
22,3.8,7.3,3.1,2.6,78.7,6,11,62.7
21,7.2,7.0,6.0,4.0,75.5,3,17,70.1
22,3.9,3.8,2.5,2.2,100.0,10,6,37.8
21,3.0,4.5,4.9,3.4,96.7,3,3,33.1
24,6.0,6.9,3.8,2.9,81.9,5,21,64.6
21,1.8,3.8,4.2,3.1,68.7,10,4,17.1
24,2.7,7.3,1.8,1.2,68.2,9,19,54.3
18,4.3,3.9,3.8,2.4,93.0,8,24,51.2
18,2.0,6.6,3.2,2.0,44.3,3,11,42.1
21,3.8,8.1,2.6,1.5,82.0,7,16,46.6
21,4.7,3.5,1.0,0.3,77.2,8,20,48.2
24,2.7,7.0,4.7,3.4,72.0,3,22,58.5
21,5.2,3.1,4.2,2.0,89.0,9,6,34.2
21,5.1,7.2,4.5,3.5,57.6,2,14,55.0
19,4.4,7.1,6.1,4.3,94.3,10,12,38.3
21,1.2,7.6,3.1,2.2,61.0,10,26,41.6
18,3.1,5.7,3.9,1.9,52.7,7,5,39.6
19,3.7,5.9,3.6,2.9,49.1,8,7,38.5
23,8.8,9.9,3.3,2.4,72.2,5,20,71.3
20,3.6,5.7,5.3,3.7,57.3,4,23,50.5
19,4.6,6.3,0.5,0.2,89.9,8,15,53.4
24,2.6,5.1,1.1,0.3,70.2,7,20,56.8
18,2.3,5.6,3.6,2.0,95.4,2,7,45.7
22,1.9,5.2,2.4,1.6,46.0,2,29,58.4
22,5.4,3.8,3.0,1.9,53.8,1,16,51.9
20,4.8,4.6,5.8,3.9,100.0,8,14,44.9
20,6.0,6.5,4.1,3.0,46.9,4,19,61.6
24,6.1,6.3,1.6,0.5,60.0,6,4,48.6
23,4.6,6.0,5.5,4.6,83.5,5,27,64.4
18,4.8,3.4,4.9,3.3,82.1,9,24,40.0
21,2.2,4.3,5.9,3.9,71.0,4,19,39.9
22,2.3,8.4,3.1,2.1,92.7,2,14,53.4
21,3.7,6.0,7.1,4.7,86.5,2,29,53.6
20,6.6,8.3,3.5,2.2,75.3,1,28,75.6
24,1.7,9.1,4.6,3.0,68.6,3,4,34.2
20,0.5,5.7,5.1,2.9,88.0,2,22,44.9
19,4.8,5.2,3.9,2.1,75.8,6,4,44.4
24,2.0,6.1,3.5,2.3,64.1,10,22,46.4
23,3.8,4.4,5.9,4.4,56.5,10,20,33.6
18,2.0,6.8,2.7,2.0,57.4,3,3,40.5
23,2.0,7.2,5.5,3.2,100.0,5,6,46.1
23,1.1,6.9,3.8,2.9,84.4,3,7,32.2
19,5.3,7.0,5.5,4.4,74.5,4,21,60.7
24,2.7,7.6,2.6,1.9,41.7,4,12,43.1
21,2.2,5.9,3.0,2.6,59.6,6,7,35.6
21,2.9,5.6,3.4,2.3,74.8,4,21,47.7
24,5.3,6.9,2.2,1.1,71.6,9,8,58.6
24,3.0,7.8,4.4,3.0,96.5,3,9,52.6
19,4.1,8.1,3.1,1.3,77.4,6,18,52.1
21,4.2,3.0,3.4,3.0,63.1,1,21,44.8
22,2.7,5.0,2.7,1.7,61.6,7,27,50.2
22,6.0,7.6,4.0,3.4,60.8,1,20,72.3
18,5.4,4.6,3.1,2.4,58.7,2,21,66.1
22,4.7,5.7,1.9,1.1,62.2,1,23,69.4
19,5.2,8.6,4.3,3.3,98.6,6,20,52.7
23,5.6,6.5,3.4,2.4,46.2,4,26,68.7
21,0.7,6.7,2.9,2.0,49.3,1,23,50.2
21,3.4,8.7,2.1,1.9,100.0,2,12,59.5
22,2.7,8.3,4.0,2.5,81.2,4,15,52.2
21,3.2,8.1,2.4,1.6,76.0,6,4,42.6
23,4.4,4.9,0.9,0.2,67.3,7,27,63.2
21,3.5,9.2,4.9,3.7,26.7,10,9,23.4
23,6.6,7.5,5.8,4.1,66.0,2,12,64.1
21,5.2,7.7,4.9,3.3,62.1,1,28,68.0
21,7.2,6.6,1.2,0.9,73.8,5,3,65.8
19,5.1,5.6,3.6,2.0,46.0,5,25,60.1
18,1.4,5.9,3.8,2.6,69.4,4,9,41.6
22,2.2,4.6,0.9,0.8,65.5,2,10,41.4
23,4.3,5.9,7.1,4.7,82.4,10,18,39.1
22,4.9,8.4,0.7,0.2,71.3,5,20,69.4
20,2.3,9.1,2.6,2.3,77.1,1,24,57.4
23,7.7,6.9,2.8,2.4,67.3,10,16,63.8
22,2.8,9.0,6.5,4.1,82.3,7,4,30.2
21,8.6,8.4,2.8,2.1,79.5,7,29,84.0
19,5.3,7.8,5.9,4.6,85.1,6,16,53.1
24,5.9,4.7,5.2,3.8,84.2,8,22,50.8
23,2.8,8.3,3.4,2.9,74.5,8,9,34.8
23,4.1,4.2,8.0,5.4,77.9,9,4,17.7
24,1.8,3.2,4.6,3.4,89.7,4,20,35.7
20,4.4,7.2,4.1,3.3,82.5,8,23,55.9
18,2.1,7.1,4.9,4.0,56.2,8,13,32.4
24,2.9,8.0,4.7,3.2,74.1,9,4,37.0
22,4.2,6.8,3.2,1.6,69.8,2,10,56.9
22,6.7,8.0,3.8,2.5,55.9,7,10,57.7
20,5.2,4.3,5.5,4.2,66.9,2,28,58.2
18,4.8,3.0,5.4,4.3,73.9,6,21,35.1
20,4.7,6.4,4.7,3.3,58.0,3,4,45.1
21,6.6,7.8,4.5,3.1,83.1,1,29,80.0
22,3.6,4.8,2.2,1.0,79.9,9,7,38.1
18,3.6,4.7,6.0,4.1,100.0,9,17,46.6
18,6.7,6.1,4.3,3.3,95.9,2,11,65.9
23,7.9,4.8,2.9,2.5,61.6,9,22,58.4
22,0.7,8.1,3.4,2.5,64.1,1,11,37.4
18,7.1,7.9,5.1,3.7,84.2,2,23,70.2
24,2.2,7.7,2.8,2.2,61.7,8,5,44.2
19,2.3,4.6,3.0,1.8,45.9,4,8,27.4
21,5.7,4.2,4.4,2.4,63.4,7,20,56.3
20,5.1,4.5,5.6,3.7,82.0,4,23,60.8
24,7.0,6.1,2.1,2.0,94.7,10,19,68.9
20,2.9,7.8,3.7,2.9,39.5,7,16,45.4
24,2.1,6.2,4.4,3.2,69.2,5,29,50.9
22,5.5,5.8,0.7,0.2,53.7,9,10,53.9
18,2.8,5.1,0.5,0.2,82.0,4,19,57.6
19,2.2,8.2,3.8,2.7,75.2,5,21,52.1
18,3.8,7.2,5.0,3.7,91.7,8,18,53.4
20,4.0,7.0,2.4,1.7,52.0,8,24,56.7
20,7.5,3.7,3.7,2.5,96.8,3,17,64.7
18,5.8,5.1,3.8,3.1,80.0,9,29,58.4
23,4.9,8.9,2.5,2.1,60.0,6,17,53.5
18,6.8,5.1,5.3,4.1,59.1,10,16,55.3
23,2.9,9.5,4.5,3.5,51.5,2,24,52.6
24,3.9,6.6,1.2,0.7,69.5,7,27,68.3
23,2.7,6.9,3.2,1.7,66.6,1,11,49.2
23,2.9,9.4,1.5,0.3,74.5,5,15,50.3
19,2.1,7.1,5.0,3.7,89.2,6,21,48.9
21,3.5,5.9,4.9,2.9,67.7,8,26,49.3
19,4.1,5.6,4.9,3.6,100.0,8,6,50.5
18,4.6,7.8,1.3,0.5,75.6,4,5,57.0
19,5.0,6.4,2.0,1.9,81.8,2,10,67.1
18,2.8,7.3,0.5,0.4,60.9,2,19,58.2
23,3.5,7.0,3.1,2.1,49.2,7,25,47.1
23,5.7,6.6,4.2,3.2,83.1,4,3,56.8
21,3.3,5.2,2.5,1.8,78.5,2,27,66.1
18,5.2,8.0,4.5,3.4,86.0,2,18,67.9
20,5.6,7.1,0.7,0.2,73.5,9,19,67.3
23,6.7,4.8,4.2,3.7,74.6,2,12,68.8
23,6.1,7.5,4.3,3.5,43.1,3,29,67.4
18,6.2,6.2,5.4,3.1,62.5,10,21,56.9
20,3.1,7.6,4.8,3.4,72.6,2,7,38.7
18,1.5,5.6,2.6,1.5,61.5,8,23,37.0
21,4.6,7.2,5.0,3.7,69.4,3,21,59.7
19,0.5,7.6,4.3,3.0,84.1,3,13,32.9
19,1.6,7.6,1.5,1.0,80.0,5,22,54.8
23,5.6,8.6,5.8,3.8,89.5,10,18,59.6
22,4.9,4.0,3.5,2.9,52.3,4,7,42.8
21,3.5,10.0,3.6,2.2,67.7,4,7,28.2
24,6.2,6.8,4.6,2.5,74.4,5,11,62.0
18,5.9,6.4,2.7,2.6,72.2,1,4,64.6
24,3.4,10.0,4.8,3.8,73.1,2,18,39.2
21,4.5,6.3,3.8,2.9,77.7,7,18,58.6
21,5.2,5.1,0.5,0.4,60.3,1,5,58.5
18,3.1,7.8,4.3,3.3,83.8,7,28,56.2
24,3.9,7.5,0.9,0.3,87.4,2,27,71.6
21,2.0,6.5,4.1,2.7,74.1,6,13,37.8
24,3.4,7.7,1.9,1.1,43.4,3,11,53.3
24,1.9,7.7,4.6,3.2,57.6,4,5,31.0
20,2.4,4.8,6.2,3.6,71.8,5,11,38.5
20,6.0,7.2,4.5,2.7,85.5,4,7,58.3
19,7.4,8.4,4.3,3.0,80.3,9,14,59.4
20,7.0,5.6,1.3,1.8,86.9,2,8,68.2
21,3.2,7.3,3.0,1.8,55.7,9,14,39.6
18,4.5,6.9,3.9,3.0,55.7,6,25,67.5
23,4.7,6.3,2.4,1.1,89.5,3,5,57.4
20,6.5,9.6,4.6,3.8,57.7,10,17,52.1
23,4.9,5.4,2.4,1.9,79.4,2,21,68.5
19,3.8,4.8,3.3,2.7,100.0,9,24,53.4
24,4.5,7.8,3.3,2.2,98.3,10,3,49.6
18,3.9,5.3,2.0,1.2,87.1,4,14,58.7
18,5.1,6.3,2.2,1.1,72.3,3,19,68.1
24,6.0,7.6,3.1,2.0,68.5,7,18,63.5
18,2.9,7.2,4.3,2.4,63.1,5,19,46.8
24,3.3,8.7,1.5,0.2,72.3,7,11,40.1
18,3.2,9.5,2.7,1.8,62.0,10,12,30.6
23,8.1,5.2,4.7,2.9,74.1,3,19,74.8
24,6.9,8.3,3.0,1.7,53.9,1,28,74.7
19,2.8,6.9,5.4,4.2,95.5,3,25,62.2
20,2.5,8.6,5.2,3.7,89.3,3,4,36.2
24,2.8,3.3,5.2,3.9,76.2,10,11,28.3
24,6.5,8.5,4.9,3.7,52.8,5,26,71.9
24,2.2,6.6,4.6,2.9,48.4,3,16,42.8
18,2.4,5.3,2.5,1.4,74.4,6,3,34.6
21,4.7,6.2,3.5,2.2,71.5,2,14,63.2
20,3.7,5.4,3.7,2.4,73.1,2,16,45.1
23,2.2,7.2,3.9,2.5,61.8,4,14,39.5
24,2.2,3.5,4.0,3.3,74.6,2,23,32.5
24,6.7,4.7,3.2,3.3,62.0,1,15,64.0
18,4.0,7.2,4.8,3.1,67.4,4,26,60.8
24,6.7,4.6,4.9,3.4,71.8,1,27,70.6
22,3.6,5.9,4.7,4.3,77.6,2,24,63.5
18,3.7,6.4,5.4,3.8,81.1,8,29,51.1
22,3.8,6.8,3.8,3.2,84.0,3,27,69.3
18,3.1,3.2,5.0,3.8,62.2,10,17,23.8
19,1.7,6.2,5.0,2.9,86.8,4,24,48.5
24,4.3,10.0,2.0,1.8,47.5,2,29,45.4
18,4.0,3.6,2.8,1.8,74.1,8,3,19.7
21,3.8,9.2,3.9,2.1,85.0,8,24,50.2
22,1.2,9.1,6.1,4.2,99.6,7,3,14.2
19,3.9,6.7,5.8,4.0,59.7,5,23,47.8
18,3.2,7.1,5.4,3.6,100.0,4,23,56.4
24,4.7,4.5,4.1,2.9,62.6,6,12,46.4
22,4.7,7.3,2.3,2.1,82.5,4,18,59.3
20,1.1,8.3,4.6,3.3,84.1,6,15,39.5
20,5.2,7.0,5.8,3.9,62.7,4,5,44.6
21,4.2,5.9,2.2,1.9,39.7,9,20,55.4
23,5.7,7.0,4.5,2.6,85.3,3,16,64.8
21,5.9,4.8,0.9,0.5,77.2,5,28,69.9
19,3.1,6.7,6.5,4.5,67.7,7,12,36.9
24,3.9,6.5,4.4,3.2,90.2,6,25,60.8
23,0.5,4.7,2.4,1.1,86.7,3,18,39.5
20,5.8,3.7,1.7,1.1,71.7,6,26,62.3
19,1.6,6.1,4.4,2.4,75.5,5,27,45.2
20,5.5,4.0,2.8,2.4,77.2,10,24,51.9
18,5.1,6.2,0.7,1.0,52.9,8,4,41.1
20,2.2,7.6,4.8,2.8,90.5,10,4,30.6
24,5.1,7.8,4.2,2.4,65.5,6,28,64.1
22,4.2,6.9,1.9,1.5,70.7,6,7,52.2
23,5.1,5.9,4.1,3.0,81.2,1,20,66.8
19,1.5,6.7,2.4,1.2,54.8,5,27,59.4
19,5.8,7.5,2.0,1.7,59.6,3,10,60.6
22,6.3,7.3,5.0,3.2,69.4,9,13,56.9
23,2.6,7.9,5.3,3.9,73.6,9,26,50.0
24,5.6,5.7,4.3,4.0,88.1,8,9,62.6
19,3.2,8.1,4.0,3.0,55.3,7,24,36.4
21,6.2,5.1,2.3,1.6,85.9,1,22,75.9
22,2.4,7.1,3.6,2.8,77.3,7,10,44.1
22,6.2,3.3,4.8,3.2,83.5,9,29,44.8
20,4.9,6.5,2.2,2.0,56.6,6,26,59.0
20,1.7,5.3,3.6,2.2,65.9,9,16,44.0
19,4.2,6.8,5.5,4.2,85.4,3,7,48.9
22,3.3,6.9,4.8,3.5,70.3,9,14,44.1
21,3.2,7.8,2.2,1.6,99.1,8,3,49.3
18,5.1,9.6,6.4,4.4,57.6,9,21,40.5
21,5.0,4.7,3.6,2.8,73.3,8,10,49.0
24,0.6,6.1,4.1,2.8,68.3,8,27,47.0
22,5.8,7.2,3.4,2.2,63.9,4,17,62.0
24,3.8,7.7,5.1,4.0,79.0,10,25,49.5
20,5.1,8.4,3.1,1.2,95.3,2,6,62.7
23,5.2,4.4,5.1,4.4,75.2,5,18,48.9
24,3.0,4.8,3.5,2.6,87.5,1,12,39.8
23,4.9,6.8,7.3,4.8,100.0,6,11,45.9
18,3.6,9.1,3.9,2.9,87.8,2,26,57.6
20,1.3,4.8,5.3,3.9,78.8,3,9,27.5
24,3.4,6.9,4.2,3.4,77.3,1,4,41.0
23,5.7,8.1,3.4,2.7,82.7,4,10,61.4
22,4.6,6.7,4.9,2.7,45.4,10,26,39.5
21,4.3,6.4,7.5,5.0,73.8,5,5,39.3
20,3.5,3.8,4.2,2.8,59.1,5,6,29.2
23,5.4,6.0,0.9,0.7,93.1,9,20,65.8
22,5.5,8.8,4.5,2.6,80.0,10,18,46.6
19,5.5,8.7,2.1,1.7,68.8,5,4,49.9
19,2.2,4.2,5.6,4.0,57.7,1,20,35.3
19,3.7,7.5,5.7,4.3,60.3,4,18,47.5
21,5.9,7.2,3.2,2.4,68.7,7,25,65.1
22,3.6,9.2,3.0,2.1,69.6,5,16,47.5
21,4.2,5.0,4.6,3.2,77.4,5,3,37.3
19,5.1,3.0,4.5,3.2,71.3,4,3,27.2
22,1.1,5.6,4.2,2.6,46.4,7,23,38.8
19,2.3,6.3,3.1,1.8,88.4,1,20,65.4
19,3.0,6.6,3.3,2.6,60.5,10,6,34.2
21,5.2,7.1,2.9,2.2,66.5,7,4,46.7
22,1.1,7.2,3.0,2.1,58.9,6,14,43.4
23,5.1,5.9,3.9,3.2,81.1,8,9,48.6
24,3.0,6.6,2.7,1.6,86.6,2,20,63.7
23,5.8,10.0,3.3,1.9,86.0,9,19,42.4
